,Brand,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor
81,Vivo,4000,6.53,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,256,14990,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2.1,Yes,6,Yes,24,LED,32,395,75.9,161.2,189.5,Yes,No,Yes,February,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
82,Vivo,4030,6.22,Yes,16,Yes,Yes,No,No,No,2.0,Nano,Yes,No, 256,6980,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2,Yes,2,Yes,13,LED,8,270,75,155,163.5,No,No,Yes,March,2019,1,720,1520,1,0,1,0,0,0,0,1,0,0
83,Vivo,4030,6.22,Yes,32,Yes,Yes,No,No,No,2.0,Nano,Yes,No, 256,6980,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2,Yes,2,Yes,13,LED,8,270,75,155,163.5,No,No,Yes,March,2019,1,720,1520,1,0,1,0,0,0,0,1,0,0
84,Apple,1810,4.7,Yes,64,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,21999,Yes,Yes,Yes,Yes,1,Proprietary,Yes,iOS,Dual,apple,1.4,Yes,1,No,8,Dual LED,1.2,326,67,138.1,129,No,No,No,September,2014,1,750,1334,1,1,1,0,0,0,1,1,0,0
85,Apple,1810,4.7,Yes,64,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,35320,Yes,Yes,Yes,Yes,1,Proprietary,Yes,iOS,Dual,apple,1.4,Yes,1,No,8,Dual LED,1.2,326,67,138.1,129,No,No,No,September,2014,1,750,1334,1,1,1,0,0,0,1,1,0,0
86,Apple,1810,4.7,Yes,32,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,21999,Yes,Yes,Yes,Yes,1,Proprietary,Yes,iOS,Dual,apple,1.4,Yes,1,No,8,Dual LED,1.2,326,67,138.1,129,No,No,No,September,2014,1,750,1334,1,1,1,0,0,0,1,1,0,0
87,Apple,1810,4.7,Yes,32,Yes,No,Yes,No,Yes,1.0,Nano,Yes,No,0,35320,Yes,Yes,Yes,Yes,1,Proprietary,Yes,iOS,Dual,apple,1.4,Yes,1,No,8,Dual LED,1.2,326,67,138.1,129,No,No,No,September,2014,1,750,1334,1,1,1,0,0,0,1,1,0,0
88,Infinix,5000,6.52,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,No,No,256,6999,Yes,Yes,Yes,Yes,Yes,microUSB,Yes,Android,Octa,mediatek,2,Yes,4,No,13,LED,8,267,76.3,165,179,No,No,Yes,September,2019,3,720,1600,1,1,1,0,0,0,0,1,0,0
89,Apple,,6.7,Yes,128,Yes,Yes,Yes,Yes,No,2.0,eSIM,Yes,Yes,0,119999,Yes,Yes,Yes,Yes,Yes,Proprietary,Yes,iOS,Hexa,apple,2.65,Yes,6,No,13,LED,13,444,78.10,160.80,228.0,Yes,No,No,October,2020,3,1242,2688,1,1,1,0,0,0,1,1,0,0
90,Samsung,4000,6.4,Yes,64,Yes,Yes,Yes,No,No,2.0,Nano,Yes,No,512,14999,Yes,Yes,Yes,Yes,Yes,USB-C,Yes,Android,Octa,samsung,2.3,Yes,4,Yes,25,LED,25,430,74.5,158.5,166,Yes,No,Yes,February,2019,3,1080,2340,1,1,1,0,0,0,1,1,0,0
