,Battery capacity,Screen Size,Touchscreen,Internal storage,Headphones,Face unlock,Fingerprint sensor,Wireless charging,NFC,Number of SIMs,SIM Type,4G/ LTE,5G,Expandable storage,Price,3G,EDGE,GPRS,Wi-Fi,VoLTE,Usb Type,Bluetooth,OS,cpuCores,Chipset,CPU,GPS,RAM,FM Radio,Rear Camera,Flash,Front Camera,PPI,Width,Height,Weight,Fast Charging,Removable Battery,Card Slot,Launched_Month,Launched_Year,Number of Rear Cameras,Resolution_x,Resolution_y,Light Sensor,Compass Sensor,Proximity Sensor,Magnetic Sensor,Gravity Sensor,Heathtracking Sensor,Gyroscope Sensor,Accelerometar Sensor,Vibration Sensor,Laser Sensor,Manufacturer,Brand__Apple,Brand__Coolpad,Brand__Google,Brand__Huawei,Brand__Infinix,Brand__LG,Brand__Lenovo,Brand__Micromax,Brand__Motorola,Brand__Nokia,Brand__OnePlus,Brand__Oppo,Brand__Realme,Brand__Samsung,Brand__Tecno,Brand__Vivo,Brand__Xiaomi,logPrice
333,2900,5.5,1,16,1,0,0,0,0,2.0,0,0,0,32,5999,1,1,1,1,0,2,1,0,2,4,1.7,1,2.0,1,13.0,0,5.0,401,76.2,152.6,150.0,0,1,1,7,1,1,1080,1920,1,1,1,0,0,0,1,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.699348067653093
334,3000,5.5,1,16,1,0,0,0,0,2.0,0,1,0,256,9399,1,1,1,1,1,2,1,0,3,5,1.4,1,3.0,1,13.0,1,5.0,267,77.2,151.69,175.0,0,1,1,8,4,1,720,1280,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.148358579620302
335,3000,5.5,1,32,1,0,0,0,0,2.0,0,1,0,256,9399,1,1,1,1,1,2,1,0,3,5,1.4,1,3.0,1,13.0,1,5.0,267,77.2,151.69,175.0,0,1,1,8,4,1,720,1280,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.148358579620302
336,3285,6.0,1,16,1,0,0,0,0,2.0,1,0,0,256,7990,1,0,0,1,1,2,1,0,3,3,1.4,1,2.0,1,8.0,1,5.0,268,75.7,155.8,150.0,0,0,1,5,4,1,720,1440,1,0,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.98594603876032
337,3500,6.0,1,32,1,1,1,0,0,2.0,1,1,0,400,6675,1,1,1,1,1,2,1,0,2,2,1.5,1,3.0,1,13.0,1,8.0,268,76.44,156.68,180.0,0,0,1,10,4,2,720,1440,1,1,1,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.80612448326845
338,5000,6.52,1,64,1,1,1,0,0,2.0,1,1,0,256,8999,1,1,1,1,1,2,1,0,2,3,2.0,1,4.0,1,12.0,1,8.0,269,75.0,164.4,195.0,0,0,1,4,6,4,720,1600,1,0,1,1,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.104868739033948
339,4045,6.3,1,64,1,1,1,0,0,2.0,1,1,0,256,11999,1,1,1,1,1,2,1,0,2,3,2.2,1,6.0,1,16.0,1,25.0,409,74.2,156.8,172.0,1,0,1,0,5,2,1080,2340,1,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.392578591964389
340,4045,6.3,1,64,1,1,1,0,0,2.0,1,1,0,256,12999,1,1,1,1,1,2,1,0,2,3,2.2,1,6.0,1,16.0,1,25.0,409,74.2,156.8,172.0,1,0,1,0,5,2,1080,2340,1,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.47262771040802
341,4045,6.3,1,64,1,1,1,0,0,2.0,1,1,0,256,11499,1,1,1,1,1,2,1,0,2,3,2.2,1,4.0,1,16.0,1,25.0,409,74.2,156.8,172.0,1,0,1,0,5,2,1080,2340,1,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.350015354048665
342,4045,6.3,1,128,1,1,1,0,0,2.0,1,1,0,256,11999,1,1,1,1,1,2,1,0,2,3,2.2,1,6.0,1,16.0,1,25.0,409,74.2,156.8,172.0,1,0,1,0,5,2,1080,2340,1,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.392578591964389
